,0
1908,26164
1909,11915
1910,25211
1911,31523
1912,23516
1913,40438
1914,34012
1915,11888
1916,3613
1917,12225
1918,32438
1919,18763
1920,35409
1921,40937
1922,18434
1923,21076
1924,8788
1925,19802
1926,29461
1927,19209
1928,12476
1929,17121
1930,8222
1931,17921
1932,12186
1933,25650
1934,5433
1935,48232
1936,28247
1937,22378
1938,53453
1939,17801
1940,27443
1941,9343
1942,12988
1943,19975
1944,33073
1945,5321
1946,9246
1947,7688
1948,26948
1949,36162
1950,24415
1951,26792
1952,13728
1953,21603
1954,44384
1955,50137
1956,22648
1957,36182
1958,21655
1959,18479
1960,16758
1961,33236
1962,19241
1963,20204
1964,20204
1965,22241
1966,13843
1967,28287
1968,41315
1969,4298
1970,44689
1971,20750
1972,20604
1973,15468
1974,28670
1975,34047
1976,34109
1977,34721
1978,19257
1979,28519
1980,27957
1981,8656
1982,28512
1983,34779
1984,15958
1985,36450
1986,45444
1987,23464
1988,4788
1989,30031
1990,30803
1991,20586
1992,31060
1993,13823
1994,5805
1995,18309
1996,16218
1997,33377
1998,18673
1999,22156
2000,15701
2001,26382
2002,33026
2003,3064
2004,10121
2005,8388
2006,18162
2007,30835
2008,55485
2009,10854
2010,32852
2011,22201
2012,22442
2013,32886
2014,20140
2015,23264
2016,36039
2017,51852
2018,16766
2019,16107
2020,37980
2021,22043
2022,49536
2023,37430
2024,33324
2025,41618
2026,14049
2027,22043
2028,7687
2029,32003
2030,24594
2031,16662
2032,34726
2033,8273
2034,9007
2035,23728
2036,30226
2037,21965
2038,36870
2039,35305
2040,21657
2041,38710
2042,37340
2043,7988
2044,4239
2045,30125
2046,22957
2047,45441
2048,39196
2049,20043
2050,33402
2051,47423
2052,33933
2053,22966
2054,32999
2055,49904
2056,25569
2057,46838
2058,32289
2059,8743
2060,52015
2061,5594
2062,60620
2063,28474
2064,13631
2065,5038
2066,28660
2067,36935
2068,8489
2069,21967
2070,41350
2071,26463
2072,18660
2073,10025
2074,10521
2075,19897
2076,34728
2077,37217
2078,40344
2079,13786
2080,25601
2081,41966
2082,11842
2083,25684
2084,41319
2085,13254
2086,5977
2087,7190
2088,21923
2089,23602
2090,50378
2091,42682
2092,30032
2093,8746
2094,36056
2095,18113
2096,47741
2097,33842
2098,19834
2099,7827
2100,41805
2101,47562
2102,16441
2103,25533
2104,52541
2105,4630
2106,4784
2107,13067
2108,34658
2109,38126
2110,33010
2111,14810
2112,11388
2113,51892
2114,37315
2115,24460
2116,3214
2117,36210
2118,17383
2119,26301
2120,30096
2121,10718
2122,19668
2123,37190
2124,7959
2125,16076
2126,12049
2127,26209
2128,58679
2129,34923
2130,70205
2131,13996
2132,17629
2133,34253
2134,26252
2135,19326
2136,10204
2137,11162
2138,11162
2139,10911
2140,38404
2141,8345
2142,69318
2143,12692
2144,15504
2145,6021
2146,25287
2147,29051
2148,34643
2149,46108
2150,55015
2151,32284
2152,16843
2153,50035
2154,45548
2155,15879
2156,24027
2157,39124
2158,13278
2159,49868
2160,15567
2161,6064
2162,10329
2163,23688
2164,48007
2165,27836
2166,33195
2167,35591
2168,8293
2169,47247
2170,38223
2171,49371
2172,16006
2173,16935
2174,12745
2175,31000
2176,13128
2177,36162
2178,3970
2179,9014
2180,18804
2181,26360
2182,14073
2183,6602
2184,13702
2185,48768
2186,35053
2187,26893
2188,36019
2189,20454
2190,12499
2191,12931
2192,19137
2193,18339
2194,5545
2195,46637
2196,7646
2197,11687
2198,13843
2199,5466
2200,22365
2201,45449
2202,7757
2203,45935
2204,28109
2205,25352
2206,36393
2207,32405
2208,29244
2209,19677
2210,16083
2211,19360
2212,35359
2213,47646
2214,28970
2215,34191
2216,50924
2217,3485
2218,33665
2219,21539
2220,33083
2221,22118
2222,30115
2223,7033
2224,15109
2225,42761
2226,42761
2227,46736
2228,17128
2229,16917
2230,26134
2231,14053
2232,12066
2233,41288
2234,34460
2235,9171
2236,21035
2237,19769
2238,18300
2239,23092
2240,19656
2241,36496
2242,44439
2243,33402
2244,11218
2245,19208
2246,46919
2247,7612
2248,28142
2249,25425
2250,28599
